id,title,minExp,skills
452679bb-be5a-4599-a59b-21c624b4bd5d,"District Data Agent",3,"{Node,React}"
89bfca14-f2a4-48e7-a486-b30cf17a9dab,"Direct Operations Administrator",2,"{Postgres,TypeScript}"
dccb0b85-0279-4214-82cc-99c6adba7af3,"International Response Specialist",3,"{React,Postgres}"
68acdfd6-aae8-4c9b-8fc6-3b8eec09c7b0,"Central Integration Consultant",4,"{Postgres,React}"
2323ec30-2f86-4531-80b0-086b196c90b6,"Dynamic Configuration Strategist",2,"{TypeScript,Node}"
8d2f0f59-21ed-45c5-8fb4-22558b8d9394,"Lead Solutions Developer",3,"{Node,Postgres}"
5103f05d-02dc-4510-8054-b6ae12a7a259,"Legacy Mobility Analyst",5,"{Node,TypeScript}"
fbeef4af-3769-44a1-b716-9fc33478e1f7,"Forward Group Producer",3,"{Node,TypeScript}"
be398b6d-fa49-43a5-a0c5-d9aff9cc71b8,"Future Interactions Manager",2,"{React,Postgres}"
f0113a6c-7f53-4202-85ed-09ede6b5e5d1,"Investor Quality Executive",4,"{TypeScript,React}"
549f7c4b-91c3-4cc4-b6e9-e7173e423764,"Regional Functionality Architect",4,"{Node,TypeScript}"
14435600-bc52-44ac-8ffc-2ccc22986d46,"Investor Infrastructure Engineer",2,"{React,TypeScript}"
d53c992c-aafc-469a-83f9-1dfa0dc346bf,"Internal Brand Manager",4,"{Postgres,TypeScript}"
f5193893-cf76-4d7f-a996-50be59739296,"Chief Research Technician",1,"{Node,React}"
23ca3029-74bb-4166-b7b4-a21b9107a289,"Future Marketing Facilitator",1,"{React,Postgres}"
630a4125-a3dd-41a5-a282-b3528d7b2ba9,"Chief Implementation Representative",2,"{TypeScript,Postgres}"
30234616-4468-4f0a-bfe5-96c2361c2d99,"Future Data Architect",5,"{TypeScript,React}"
1ef95c8e-9c64-4f49-92fa-dbb7cf99a225,"Future Mobility Assistant",5,"{Postgres,TypeScript}"
8a08b333-e3a3-47d6-860b-1138f3a617e5,"Direct Directives Producer",5,"{React,Node}"
2df2151d-1616-46e7-9ccf-b5bb9978de7f,"Dynamic Communications Developer",4,"{React,TypeScript}"
168f0f87-e8d0-4177-9d3b-14199849ffbf,"District Security Specialist",5,"{Node,React}"
36719bd9-0573-45eb-be04-490d73782af8,"Forward Configuration Executive",4,"{React,Node}"
8525c7a0-0d9c-477b-ab1b-e69d93edfc76,"Corporate Solutions Producer",2,"{Postgres,React}"
f5565617-a460-4931-bda9-e86c2ae5cea5,"Internal Data Consultant",1,"{Node,React}"
e31123ab-0754-4d29-85bb-d6a3a0498f0c,"Forward Functionality Representative",1,"{React,Node}"
044153a2-0c8c-4ece-9731-0f6f9f4d5dc7,"Product Security Consultant",3,"{TypeScript,Node}"
30228bb4-ae9e-42d3-b597-d20adec006f1,"Forward Assurance Designer",2,"{TypeScript,React}"
430d980d-f9ae-4118-901e-75c0d6514db9,"Investor Identity Producer",5,"{Postgres,React}"
32e6681c-ad34-4463-9923-7b1f90694630,"Global Functionality Architect",4,"{Postgres,React}"
01827236-aea9-43b0-bad1-9615096fec44,"Central Data Technician",2,"{TypeScript,Postgres}"
647efdcc-d34f-42ff-8d38-3f535935f6ef,"International Branding Analyst",2,"{TypeScript,Postgres}"
31de95be-ed1e-4ed4-8c3a-5aba57f83718,"National Markets Executive",3,"{Postgres,TypeScript}"
a0f2adac-1ca1-4833-825b-b85c7e845766,"Dynamic Web Orchestrator",2,"{Postgres,React}"
404d49aa-ff3e-4d0a-9286-d50238d520fe,"Central Web Designer",3,"{Node,React}"
37899843-8ac4-405b-b4d8-9a19b9912a18,"Chief Mobility Architect",5,"{Node,React}"
ad5146ee-589d-4e6c-9f29-0fceaabf391f,"Chief Communications Manager",2,"{Postgres,Node}"
1d4da3df-c961-4f44-9b6a-1c7ac26e9be1,"National Accounts Manager",2,"{Node,TypeScript}"
fbe05417-3578-4988-b56f-0257c4ed5a16,"Human Identity Facilitator",5,"{Postgres,Node}"
853f2fc1-aa7f-44bf-badc-c0faa51cf7ee,"Dynamic Marketing Developer",4,"{React,TypeScript}"
f2a5116a-94e2-46b2-853e-9e0cee05d827,"Regional Response Director",1,"{Postgres,React}"
a98ceac5-b8c1-4b05-8cf2-d551c55ea4ad,"Human Brand Developer",3,"{Postgres,TypeScript}"
7648eb88-afb1-4572-a78e-3023194958ae,"Legacy Quality Director",1,"{TypeScript,Postgres}"
fe49e672-879a-4b40-994a-4be4ed77d40f,"Legacy Marketing Specialist",5,"{TypeScript,React}"
90e8c3c6-d24b-402c-82b9-db25abc8b208,"International Communications Administrator",3,"{Postgres,Node}"
189dc9e1-2a0f-4822-841d-f47bb8599241,"International Group Developer",5,"{React,TypeScript}"
68fb28ea-2a5d-45dd-9afd-6e27e18cafb4,"Principal Functionality Analyst",1,"{React,TypeScript}"
a94800e1-5663-4bc3-9ffb-fe17957f7a67,"Dynamic Directives Orchestrator",3,"{TypeScript,Postgres}"
8abaed56-9ff3-4552-94bb-c9929da2952a,"Product Factors Assistant",1,"{Postgres,TypeScript}"
5bc8d561-15db-4a86-970d-e37d62c1ee2a,"Senior Interactions Technician",5,"{Node,React}"
abbf5457-892c-472a-b04e-064fa4208e56,"Legacy Intranet Agent",3,"{Postgres,React}"
cfff825c-1e9c-48ff-becc-636bdbeb6225,"Central Group Manager",2,"{React,TypeScript}"
b01bf068-12c0-40fb-a5d3-c79eec7fce51,"Internal Branding Developer",2,"{TypeScript,Postgres}"
0435018c-9bfc-4e58-a3b1-9acdd0190e56,"National Optimization Executive",2,"{React,TypeScript}"
d1f8d031-0c9c-4405-a9d6-4662c7d214e3,"Product Brand Engineer",1,"{Postgres,Node}"
2121a2a0-9c9b-4272-af6e-3aa152b4f9b0,"Legacy Accountability Director",3,"{React,Node}"
896e73ae-9bb9-48c0-a56f-f80ee099fb26,"Regional Brand Representative",1,"{React,Postgres}"
e90c0b2e-2cfd-48ec-b0c4-cf6938563070,"District Interactions Agent",2,"{React,Postgres}"
292a13d3-7820-4fc1-9430-946c2f860b48,"Lead Integration Consultant",1,"{TypeScript,Postgres}"
29d5db0a-a05d-4637-9671-f38b65893122,"Direct Usability Agent",3,"{TypeScript,Postgres}"
8410216c-5a02-4108-8c49-c71dbb9cddf0,"Product Directives Associate",1,"{React,TypeScript}"
e363091c-76d1-4922-a982-a4f2f7cdef5a,"Dynamic Assurance Analyst",4,"{Node,TypeScript}"
ced5c397-70cd-4595-abb5-dfae4811ff02,"Central Program Liaison",5,"{Postgres,TypeScript}"
2296a999-664d-45fb-9dde-64b33ce1cf9a,"Product Implementation Consultant",4,"{Node,TypeScript}"
6f2a41f7-4e42-4cdb-809c-01ed8b38eaac,"Future Configuration Agent",1,"{TypeScript,Node}"
04be87d2-2ccd-42be-95f9-1a2a30a998fa,"Senior Implementation Administrator",3,"{React,Postgres}"
c118ea28-d932-4600-bfbc-d026c0adf813,"Product Identity Strategist",4,"{TypeScript,Postgres}"
a15e469e-3cff-4607-95d9-c5adf69615cd,"Customer Accounts Strategist",3,"{TypeScript,Node}"
b962bb04-8382-4b86-9f90-e9778aa21a8b,"Senior Configuration Technician",5,"{React,Postgres}"
ffe2ee61-8dfb-43fa-bc7f-2bd3236e8a56,"Human Usability Supervisor",2,"{Node,Postgres}"
30414b0c-d513-4a92-9bea-5a7a337d0a42,"Product Brand Officer",5,"{React,Node}"
a3733d8d-d152-4dcb-9383-f9f9cbbf7e33,"Lead Quality Executive",1,"{Postgres,React}"
312d27c2-4169-4972-b916-6a507d05e99f,"Dynamic Quality Assistant",3,"{TypeScript,Postgres}"
31ad8360-0942-466c-b1c9-a30bc10295e6,"Lead Group Analyst",3,"{Postgres,Node}"
f59cf894-4850-42e7-9617-9f0962a511b4,"Human Operations Specialist",1,"{Postgres,React}"
2e8b8584-b711-4f28-b0ee-d336c728b372,"Legacy Implementation Technician",1,"{TypeScript,React}"
65803367-fccf-44a5-86b5-d1dce13d7b19,"National Web Agent",1,"{React,Node}"
abebcf58-67c2-4289-a3ef-30cc4333002c,"Corporate Creative Architect",5,"{React,Postgres}"
cb290aea-1054-43e9-a240-b81146618822,"National Creative Specialist",2,"{React,Node}"
7ba435de-d43f-4c5f-a270-316d5c7cb75e,"Investor Program Specialist",5,"{TypeScript,Node}"
3f3b2e1b-c682-4d5f-9b58-b6fd9f0ee112,"Legacy Division Designer",3,"{React,TypeScript}"
57cb7b74-9440-4524-90c3-fbaa93fd11f9,"Internal Assurance Assistant",5,"{React,TypeScript}"
57b9b3ea-e1ee-4409-b50d-2afa48559593,"Regional Web Technician",3,"{Node,Postgres}"
545f3907-3d14-4432-961f-69e62636f4b1,"Regional Directives Assistant",2,"{TypeScript,Postgres}"
380dab95-7d4f-479b-bb96-e62da141e8e7,"International Mobility Developer",1,"{React,TypeScript}"
dd98e2f8-1669-4461-a7a3-2ab4e93bf2be,"Central Intranet Analyst",4,"{React,Node}"
a64728bc-d5fe-4df2-ba5f-e5189a28bfbb,"Forward Accountability Analyst",5,"{TypeScript,Postgres}"
9775713c-cf0d-47e0-9520-4f8e754ed1c3,"Global Creative Associate",4,"{Postgres,TypeScript}"
7e8a5180-a58e-44bd-bd53-f2e1b9ce2dac,"National Paradigm Director",5,"{Node,React}"
24171f4f-f65b-47a2-b99a-ce4bedcdcf0f,"Human Response Technician",1,"{React,TypeScript}"
93d5ed0b-c408-4426-a3d4-b3a2a706a1ce,"Customer Paradigm Director",1,"{Postgres,React}"
fad333ef-207c-43d0-a1c8-ee42526271bc,"Future Mobility Coordinator",4,"{React,Node}"
7ca458f4-2eb3-4892-84de-49593a2d44b8,"Chief Accounts Engineer",2,"{React,Postgres}"
def0c27e-60c4-42e3-ad52-f6161b4f1a58,"Human Marketing Agent",5,"{TypeScript,Node}"
82754214-bc8e-449a-b834-5ed64b89bfa9,"Product Solutions Facilitator",3,"{TypeScript,Node}"
46faea5d-764f-4048-805f-e7f57e4b7102,"International Applications Facilitator",2,"{React,Node}"
df41211c-9d0d-41c9-bc0e-42b7ae200adc,"Dynamic Factors Developer",4,"{Node,Postgres}"
5500e2ee-6be4-48b9-9be6-c47c60977321,"Chief Optimization Coordinator",5,"{Postgres,TypeScript}"
979a472f-e7d2-4794-981a-48d8bff9efba,"Direct Division Architect",3,"{Node,Postgres}"
413fdb76-ee30-4f2a-8416-f012b8d4d7b4,"Direct Accountability Administrator",1,"{Node,React}"
c6e4823c-21db-4eda-8878-5429f1927aa4,"Central Communications Producer",2,"{TypeScript,Postgres}"
32a12986-3ca1-494a-ae1e-ac3176c32d86,"District Markets Manager",5,"{Postgres,React}"
37ddb4be-3fe0-4f63-8d18-da6d91883f87,"Senior Operations Facilitator",1,"{Node,TypeScript}"
4c536c91-67cf-4baf-ad90-03f03a2611e5,"National Division Liaison",5,"{React,Node}"
e3856128-b8a2-4bbc-83b7-7b1fe229dbcb,"District Accountability Coordinator",2,"{Node,TypeScript}"
f4629295-e00c-4891-b764-90097e4ab30f,"Customer Group Analyst",2,"{Postgres,TypeScript}"
66c0dfdd-6f4b-4570-ab30-9058570cc5bf,"Legacy Branding Coordinator",5,"{Node,React}"
aa64625b-b0fa-48ca-828e-062e488ad2c4,"Investor Assurance Coordinator",2,"{Node,Postgres}"
45700e02-b044-4351-aa61-111b92237595,"Direct Directives Engineer",3,"{React,Node}"
a552c518-2fa6-4b6f-a6a4-9be3fdf00da0,"Dynamic Applications Coordinator",1,"{Postgres,TypeScript}"
6846dfbf-077e-40a9-8662-9c230c68d6cf,"Senior Configuration Architect",3,"{React,TypeScript}"
3ffa379f-f816-4270-baf5-734544c2476a,"District Branding Officer",5,"{TypeScript,Postgres}"
3e9174be-03d7-4856-98bd-691cece5531e,"District Accountability Coordinator",1,"{TypeScript,React}"
384cc6c0-509a-4daf-b595-a3e383394c6c,"Corporate Communications Designer",5,"{TypeScript,Postgres}"
a7d2fcf4-2b95-4a49-b7c0-eed2ec15ece2,"District Paradigm Officer",5,"{Node,React}"
d29b96f6-e026-4845-ab16-2c1e1f0248b9,"Human Solutions Orchestrator",2,"{Postgres,TypeScript}"
950b9c4d-3d6a-4ae0-94b3-64ee71ddbbcd,"National Accountability Facilitator",2,"{Postgres,React}"
56a2bb0c-ce63-4db5-bb46-5a6f06c45cbd,"Investor Quality Assistant",5,"{React,TypeScript}"
5359c6a2-93df-48e4-ab66-02a3f3976f41,"Customer Branding Planner",1,"{Node,TypeScript}"
44eb4783-91f0-41fe-85ea-8aa24ccc81f3,"Principal Creative Representative",2,"{React,Node}"
23879a92-5693-4872-9db8-d0e33e03d584,"Dynamic Markets Liaison",1,"{React,Node}"
443b4c0f-6faf-47ac-8c76-407acce6f8b0,"Lead Integration Supervisor",3,"{React,Node}"
2a2bca43-07d0-4805-9921-588195f6ee27,"International Brand Planner",3,"{Postgres,React}"
d9c82163-cc23-40b7-aa2b-51f37d1780cd,"Internal Functionality Representative",3,"{Postgres,React}"
d167ac9c-85e9-4e6c-9a1e-ebd40d9a6c1b,"Chief Solutions Assistant",4,"{TypeScript,React}"
23b95b8f-5b4a-4d12-a2ba-ceeeb73733c9,"Human Applications Specialist",3,"{Postgres,Node}"
bd0768de-4a95-452a-aa1d-88ec83e05e1f,"National Security Officer",2,"{Node,Postgres}"
8231746f-6c6b-44ed-ba27-b358c87e406e,"International Brand Designer",2,"{Node,TypeScript}"
6bcd8e4f-daa4-4c82-ad9b-5f2f9c3210fa,"Internal Communications Strategist",4,"{Node,TypeScript}"
309d5f38-4ff6-4ed6-901d-0817f2f17291,"Product Response Consultant",1,"{TypeScript,Postgres}"
96b4f172-e698-4caa-9fea-36a4c02a2ec9,"Direct Integration Engineer",3,"{Postgres,Node}"
d773de5c-88c4-4dd7-bcc6-f05f7eb88414,"Internal Mobility Planner",2,"{React,Node}"
c77d8b48-4e59-4dd5-8652-7847133b00fa,"National Assurance Analyst",5,"{React,TypeScript}"
48229c8a-7a75-4dce-8893-36525df825d0,"Regional Directives Designer",5,"{Postgres,React}"
6991d8be-e0ca-49d6-9235-2d5adccc3b4d,"Global Infrastructure Strategist",5,"{React,Node}"
1499362f-5ecd-4b4f-8c8e-55070ebded1e,"Future Integration Consultant",1,"{React,TypeScript}"
