id,candidate_id,job_id,match_score,status
1,1,1700,76,Rejected
2,1,1952,98,Applied
3,1,1468,67,Rejected
4,1,263,60,Offered
5,2,2075,71,Interviewing
6,2,846,73,Technical Test
7,2,1285,68,Offered
8,2,361,86,Offered
9,3,665,64,Interviewing
10,3,709,93,Interviewing
11,3,961,66,Interviewing
12,3,1246,66,Offered
13,4,360,75,Technical Test
14,4,21,66,Interviewing
15,4,332,91,Applied
16,5,1553,93,Applied
17,5,140,82,Rejected
18,5,1587,100,Offered
19,5,971,68,Applied
20,6,737,78,Technical Test
21,6,1462,83,Rejected
22,7,374,82,Applied
23,7,1643,79,Rejected
24,8,1797,79,Offered
25,8,777,60,Rejected
26,8,1650,95,Technical Test
27,9,1504,83,Technical Test
28,9,98,61,Offered
29,10,1784,81,Interviewing
30,11,871,100,Interviewing
31,11,1462,67,Rejected
32,11,1026,87,Offered
33,11,1730,87,Interviewing
34,12,21,86,Technical Test
35,13,805,93,Interviewing
36,14,1659,72,Rejected
37,14,1770,82,Offered
38,15,1204,82,Technical Test
39,16,2086,61,Applied
40,17,257,97,Technical Test
41,18,1354,89,Rejected
42,18,1377,89,Technical Test
43,19,1920,65,Applied
44,19,5,88,Interviewing
45,19,426,71,Rejected
46,20,2067,66,Offered
47,20,136,65,Offered
48,20,1509,78,Interviewing
49,20,294,99,Offered
50,21,1906,77,Technical Test
51,21,64,86,Technical Test
52,21,495,62,Interviewing
53,22,1098,89,Applied
54,22,61,65,Interviewing
55,22,2057,62,Rejected
56,22,930,78,Technical Test
57,23,667,73,Applied
58,23,1237,93,Applied
59,24,1508,91,Rejected
60,24,1641,70,Technical Test
61,25,1784,73,Applied
62,25,1142,81,Technical Test
63,25,1296,90,Rejected
64,26,1819,94,Offered
65,26,847,100,Offered
66,27,1661,68,Offered
67,27,1593,80,Offered
68,28,980,75,Interviewing
69,29,226,75,Technical Test
70,29,1465,65,Applied
71,29,1902,71,Interviewing
72,30,732,63,Applied
73,30,1271,69,Interviewing
74,31,1314,61,Applied
75,31,1198,62,Applied
76,31,929,64,Applied
77,31,1619,95,Technical Test
78,32,2041,63,Applied
79,32,1927,83,Interviewing
80,33,57,92,Interviewing
81,33,513,64,Technical Test
82,33,598,94,Technical Test
83,33,1643,65,Rejected
84,34,1654,80,Interviewing
85,34,415,70,Offered
86,34,656,82,Applied
87,34,2014,75,Interviewing
88,35,825,66,Interviewing
89,35,1977,98,Offered
90,36,675,98,Offered
91,36,729,85,Rejected
92,36,1964,73,Interviewing
93,37,433,78,Interviewing
94,38,990,67,Interviewing
95,39,324,95,Rejected
96,39,252,68,Interviewing
97,39,573,90,Rejected
98,39,732,82,Rejected
99,40,1199,89,Offered
100,40,1435,92,Offered
101,41,855,96,Rejected
102,41,612,81,Interviewing
103,41,310,68,Applied
104,41,1093,85,Offered
105,42,1829,71,Rejected
106,43,672,70,Offered
107,43,1202,94,Rejected
108,43,1529,94,Applied
109,44,912,94,Applied
110,44,1336,74,Applied
111,44,964,99,Interviewing
112,44,447,87,Rejected
113,45,514,92,Offered
114,45,1477,75,Offered
115,45,80,76,Applied
116,46,1328,68,Offered
117,47,2043,87,Offered
118,47,902,66,Rejected
119,47,8,78,Applied
120,47,583,60,Rejected
121,48,1434,75,Interviewing
122,48,2070,79,Technical Test
123,48,1590,77,Applied
124,48,395,95,Technical Test
125,49,414,60,Interviewing
126,49,328,88,Technical Test
127,50,960,80,Applied
128,50,1373,91,Offered
129,50,765,91,Rejected
130,50,1185,65,Interviewing
131,51,223,81,Offered
132,51,293,97,Interviewing
133,51,253,99,Rejected
134,52,919,65,Technical Test
135,52,500,79,Rejected
136,52,1072,69,Interviewing
137,52,1924,89,Offered
138,53,657,74,Offered
139,54,14,62,Applied
140,54,1022,84,Applied
141,54,1756,75,Applied
142,54,764,70,Interviewing
143,55,103,70,Offered
144,56,1387,88,Offered
145,57,1426,73,Offered
146,57,49,61,Applied
147,58,696,86,Offered
148,59,2058,100,Technical Test
149,59,785,65,Technical Test
150,59,1334,94,Applied
151,60,293,90,Technical Test
152,60,1595,86,Rejected
153,60,852,92,Applied
154,60,1219,62,Offered
155,61,431,89,Interviewing
156,61,1048,92,Interviewing
157,61,1139,86,Rejected
158,61,958,62,Offered
159,62,1584,94,Applied
160,62,1081,99,Technical Test
161,62,659,95,Offered
